iter	Passed	Remaining
668	17207	8513
669	17230	8486
670	17253	8459
671	17276	8432
672	17301	8406
673	17324	8379
674	17348	8352
675	17372	8326
676	17397	8300
677	17421	8273
678	17447	8248
679	17472	8222
680	17496	8195
681	17519	8168
682	17542	8141
683	17566	8115
684	17589	8088
685	17614	8062
686	17637	8035
687	17661	8009
688	17684	7982
689	17708	7956
690	17732	7929
691	17755	7902
692	17779	7876
693	17802	7849
694	17824	7822
695	17849	7796
696	17875	7771
697	17900	7744
698	17925	7719
699	17949	7692
700	17973	7666
701	17997	7639
702	18020	7613
703	18046	7587
704	18071	7562
705	18097	7536
706	18125	7511
707	18150	7485
708	18176	7460
709	18201	7434
710	18226	7408
711	18252	7382
712	18282	7359
713	18308	7333
714	18333	7307
715	18357	7281
716	18381	7255
717	18406	7229
718	18431	7203
719	18455	7177
720	18481	7151
721	18506	7125
722	18530	7099
723	18553	7073
724	18577	7046
725	18601	7020
726	18625	6994
727	18647	6967
728	18670	6940
729	18693	6914
730	18716	6887
731	18741	6861
732	18765	6835
733	18791	6809
734	18815	6783
735	18839	6757
736	18863	6731
737	18887	6705
738	18911	6679
739	18935	6653
740	18960	6627
741	18983	6600
742	19007	6574
743	19030	6548
744	19057	6523
745	19082	6497
746	19109	6472
747	19133	6446
748	19158	6420
749	19181	6393
750	19205	6367
751	19228	6341
752	19252	6315
753	19275	6288
754	19298	6262
755	19324	6237
756	19347	6210
757	19371	6184
758	19395	6158
759	19420	6132
760	19444	6106
761	19469	6080
762	19493	6054
763	19517	6028
764	19539	6002
765	19562	5976
766	19587	5950
767	19610	5923
768	19632	5897
769	19656	5871
770	19679	5845
771	19704	5819
772	19729	5793
773	19753	5767
774	19778	5742
775	19814	5719
776	19837	5693
777	19861	5667
778	19887	5642
779	19911	5616
780	19935	5590
781	19960	5564
782	19983	5538
783	20007	5512
784	20031	5486
785	20059	5461
786	20083	5435
787	20109	5410
788	20134	5384
789	20159	5358
790	20184	5333
791	20210	5307
792	20233	5281
793	20258	5255
794	20283	5230
795	20308	5204
796	20335	5179
797	20360	5154
798	20385	5128
799	20412	5103
800	20436	5077
801	20461	5051
802	20484	5025
803	20508	4999
804	20533	4974
805	20557	4948
806	20584	4922
807	20608	4897
808	20633	4871
809	20658	4845
810	20684	4820
811	20708	4794
812	20734	4769
813	20760	4743
814	20785	4718
815	20811	4692
816	20834	4666
817	20861	4641
818	20885	4615
819	20911	4590
820	20936	4564
821	20958	4538
822	20981	4512
823	21004	4486
824	21027	4460
825	21052	4434
826	21075	4408
827	21099	4383
828	21123	4357
829	21148	4331
830	21172	4305
831	21196	4280
832	21221	4254
833	21245	4228
834	21270	4203
835	21296	4177
836	21322	4152
837	21347	4126
838	21372	4101
839	21396	4075
840	21419	4049
841	21443	4023
842	21467	3998
843	21491	3972
844	21513	3946
845	21536	3920
846	21559	3894
847	21581	3868
848	21607	3842
849	21629	3817
850	21652	3791
851	21678	3765
852	21701	3739
853	21727	3714
854	21752	3688
855	21778	3663
856	21804	3638
857	21828	3612
858	21853	3587
859	21879	3561
860	21904	3536
861	21929	3510
862	21953	3485
863	21978	3459
864	22002	3433
865	22027	3408
866	22053	3383
867	22075	3357
868	22100	3331
869	22125	3306
870	22149	3280
871	22171	3254
872	22193	3228
873	22215	3202
874	22240	3177
875	22262	3151
876	22288	3125
877	22311	3100
878	22334	3074
879	22358	3048
880	22383	3023
881	22409	2998
882	22433	2972
883	22457	2946
884	22482	2921
885	22509	2896
886	22536	2870
887	22560	2845
888	22583	2819
889	22606	2794
890	22630	2768
891	22652	2742
892	22677	2717
893	22704	2691
894	22729	2666
895	22752	2640
896	22776	2615
897	22802	2590
898	22828	2564
899	22852	2539
900	22875	2513
901	22900	2488
902	22924	2462
903	22948	2437
904	22972	2411
905	22995	2385
906	23019	2360
907	23044	2334
908	23069	2309
909	23092	2283
910	23115	2258
911	23140	2232
912	23152	2206
913	23175	2180
914	23198	2155
915	23221	2129
916	23246	2104
917	23270	2078
918	23293	2053
919	23317	2027
920	23342	2002
921	23366	1976
922	23390	1951
923	23416	1925
924	23441	1900
925	23467	1875
926	23492	1849
927	23515	1824
928	23540	1799
929	23564	1773
930	23588	1748
931	23613	1722
932	23638	1697
933	23665	1672
934	23691	1646
935	23715	1621
936	23740	1596
937	23763	1570
938	23786	1545
939	23809	1519
940	23832	1494
941	23857	1468
942	23881	1443
943	23906	1418
944	23930	1392
945	23954	1367
946	23979	1342
947	24002	1316
948	24030	1291
949	24054	1266
950	24080	1240
951	24104	1215
952	24130	1190
953	24154	1164
954	24180	1139
955	24206	1114
956	24232	1088
957	24261	1063
958	24285	1038
959	24309	1012
960	24334	987
961	24359	962
962	24383	936
963	24410	911
964	24434	886
965	24459	860
966	24485	835
967	24512	810
968	24536	784
969	24560	759
970	24584	734
971	24608	708
972	24635	683
973	24659	658
974	24681	632
975	24705	607
976	24728	582
977	24753	556
978	24777	531
979	24800	506
980	24824	480
981	24848	455
982	24872	430
983	24896	404
984	24924	379
985	24948	354
986	24973	328
987	24996	303
988	25023	278
989	25047	253
990	25072	227
991	25095	202
992	25120	177
993	25144	151
994	25169	126
995	25193	101
996	25218	75
997	25242	50
998	25267	25
999	25293	0
